"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2024","633.34","660.64","678.97","629.12","9.79M","-1.51%"
"07/18/2024","643.04","656.60","657.04","639.16","7.58M","-0.68%"
"07/17/2024","647.46","650.00","650.45","639.47","4.02M","-1.35%"
"07/16/2024","656.32","661.80","663.67","649.13","2.69M","-0.02%"
"07/15/2024","656.45","647.50","667.54","646.63","3.21M","1.37%"
"07/12/2024","647.60","652.75","655.92","643.71","3.36M","-0.79%"
"07/11/2024","652.75","672.48","672.48","647.44","5.11M","-3.67%"
"07/10/2024","677.65","685.02","687.22","673.16","2.65M","-1.18%"
"07/09/2024","685.74","690.00","695.27","684.72","2.60M","0.00%"
"07/08/2024","685.74","687.00","688.86","681.48","1.93M","-0.71%"
"07/05/2024","690.65","682.51","697.49","677.23","2.66M","1.19%"
"07/03/2024","682.51","677.48","683.75","675.50","1.40M","0.43%"
"07/02/2024","679.58","673.54","681.74","670.07","2.41M","0.89%"
"07/01/2024","673.61","674.89","675.02","663.78","2.21M","-0.19%"
"06/28/2024","674.88","679.00","687.00","673.08","3.41M","-1.38%"
"06/27/2024","684.34","679.35","688.57","678.14","2.40M","0.98%"
"06/26/2024","677.69","672.41","682.96","670.02","3.55M","0.79%"
"06/25/2024","672.41","673.44","673.66","662.30","2.28M","0.51%"
"06/24/2024","669.02","685.00","685.50","664.50","3.92M","-2.49%"
"06/21/2024","686.12","683.26","686.90","678.10","4.56M","1.04%"
"06/20/2024","679.03","681.80","689.88","673.72","2.59M","-0.97%"
"06/18/2024","685.67","675.63","687.06","674.64","2.94M","1.46%"
"06/17/2024","675.83","669.11","682.71","665.11","3.63M","0.96%"
"06/14/2024","669.38","655.05","675.58","652.64","4.45M","2.47%"
"06/13/2024","653.26","644.00","655.25","642.35","1.86M","0.49%"
"06/12/2024","650.06","652.21","655.78","643.11","2.09M","0.23%"
"06/11/2024","648.55","640.72","650.19","640.52","2.17M","0.63%"
"06/10/2024","644.50","641.01","644.79","635.59","2.07M","0.47%"
"06/07/2024","641.47","649.38","650.40","640.24","1.88M","-1.09%"
"06/06/2024","648.52","644.89","657.99","644.24","2.47M","-0.27%"
"06/05/2024","650.27","634.02","651.25","628.25","2.68M","2.95%"
"06/04/2024","631.62","633.78","635.23","626.44","3.01M","-0.34%"
"06/03/2024","633.79","645.22","646.78","627.27","2.32M","-1.22%"
"05/31/2024","641.62","644.01","648.58","628.30","4.07M","-0.93%"
"05/30/2024","647.66","653.52","656.49","644.73","2.39M","-1.06%"
"05/29/2024","654.62","644.13","664.25","643.89","3.70M","0.87%"
"05/28/2024","649.00","647.05","649.75","643.03","2.61M","0.35%"
"05/24/2024","646.75","639.40","652.00","637.60","2.62M","1.74%"
"05/23/2024","635.67","642.34","642.71","630.00","2.31M","-0.75%"
"05/22/2024","640.47","647.14","649.25","638.12","2.18M","-1.56%"
"05/21/2024","650.61","636.76","650.88","634.22","2.92M","1.53%"
"05/20/2024","640.82","620.40","644.37","619.52","3.86M","3.18%"
"05/17/2024","621.10","617.00","625.79","614.71","3.78M","1.73%"
"05/16/2024","610.52","615.75","618.34","609.09","3.06M","-0.49%"
"05/15/2024","613.52","618.57","624.10","609.10","5.67M","-0.02%"
"05/14/2024","613.66","615.17","621.48","608.40","2.79M","-0.48%"
"05/13/2024","616.59","614.30","618.22","606.83","2.09M","0.94%"
